nome;contato;responsavel;valor;data_inicio;rede_social;origem;indicado_por;setor_indicado;plano;pipeline;observacoes;source_file;source_sheet;source_group;source_row
CONSTRULAR;64993131226;LEIDIMAR;;2024-08-15;Field Sales;Evento Externo;;;Plano Empresarial;Fechado;Fechado no mês Setembro, 32 contratos empresariais, destes 27 novos. | Apresentado o Plano para os colaboradores nas 2 Lojas e no CD, estamos aguardando o levantamento da empresa, de quais os colaboradores vão aderir ao plano. | FECHADO;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;2
AUTO PEÇAS PILOTO;64999754556;LEIDIMAR;;2024-08-27;Field Sales;Evento Externo;;;Plano Empresarial;Fechado;Apresentamos o plano para o RH, ficou muito interessado no plano, estamos aguardando para apresentar para os proprietários Diretores. | Apresentado o Plano na empresa para Francielly responsável pelo RH. Ficou marcado para apresentar para Direção | FECHADO;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;3
ARTE PÃO;6436232170;LEIDIMAR;;2024-08-08;CDL;Evento Externo;;;Plano Empresarial;Não responde;Apresentar no dia 12.08/ Tentamos retorno nos dias 20/08 e 05/09, ela não atende e não responde as mensagens. | Apresentamos o Plano para Laura, ela ficou de falar com a equipe dela para verificar quem tem interesse no plano, estamos aguardando o contato dela.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;4
Motel Alvorada;64993072679;LEIDIMAR;;2024-08-02;Field Sales;Evento Externo;;;Plano Empresarial;Não tem interesse;Visita no cliente, apresentei o plano empresarial apesar dele já ser conveniado, a principio ficou interessado, porém deixou de atender as ligações e responder as mensagens. | Fizemos reunião com o Rodrigo, proprietário do Motel Alvorada, apresentamos o plano empresarial e enviamos proposta para ele incluir mais 15 contratos no plano dele, estamos esperando resposta. | NÃO TEM INTERESSE;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;5
KAMILA VANESSA;64999571378;LEIDIMAR;;2024-09-05;SUDOEXPO;Evento Externo;;;Plano Empresarial;Não tem interesse;Segundo informações da Kamila RH, a Diretoria barrou a proposta de implantação do beneficios para os colaboradores, peguei o contato do Diretor para ver se conseguimos reverter a situação, empresa tem mais de 200 colaboradores. | Entrado em contato com a cliente, via mensagem de prospecção da lista da SUDOEXPO. Marcando com a cliente para apresentar o plano para ela.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;6
New Leader;64999898056;LEIDIMAR;;2024-09-05;SUDOEXPO;Evento Externo;;;Plano Empresarial;Não tem interesse;Não tem interesse neste momento. | Cliente solicitou apresentação do Plano Empresarial, foi enviado e solicitei que agenda deles para apresentar pessoalmente.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;8
Comercial Campeão;6436110320;LEIDIMAR;;2024-09-16;Field Sales;Evento Externo;;;Plano Empresarial;Não responde;Não demonstra interesse | Entramos em contato com o RH Maristela, porém estamos com dificuldade, porque ela não responde as mensagens, vamos continuar tentando.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;9
Mastercraft;64996469696;LEIDIMAR;;2024-09-13;SUDOEXPO;Evento Externo;;;Plano Empresarial;Não responde;Não respondeu mais as mensagens | Apresentado o Plano para o Ricardo na SUDOEXPO, ficou muito interessado e pediu para enviar a apresentação.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;10
Hospital do Cancer;64999877108;LEIDIMAR;;2024-09-13;SUDOEXPO;Evento Externo;;;Plano Empresarial;Apresentação/Negociação;Apresentou a proposta na reunião da Diretoria, porém eles disseram que vão priorizar outros assuntos neste momento. | Apresentado o Plano para Heloisa na SUDOEXPO, ficou muito interessado e pediu para enviar a apresentação.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;11
Colégio Athos;64992025471;LEIDIMAR;;2024-08-20;Field Sales;Evento Externo;;;Plano Empresarial;Apresentação/Negociação;Não demonstra interesse | Apresentamos o Plano para Rosana, lider do Financeiro do Colégio, ela apresentou para Diretoria que está analisando a proposta.;Controle de CRM 2026 (1).xlsx;CRM (Empresas);Empresas;12
