nome;contato;responsavel;valor;data_inicio;rede_social;origem;indicado_por;setor_indicado;plano;pipeline;observacoes
CONSTRULAR;64993131226;;;2024-08-15;Field Sales;Organico;;;Plano Empresarial;Fechado;Fechado no mês Setembro, 32 contratos empresariais, destes 27 novos. | Apresentado o Plano para os colaboradores nas 2 Lojas e no CD, estamos aguardando o levantamento da empresa, de quais os colaboradores vão aderir ao plano. | FECHADO
AUTO PEÇAS PILOTO;64999754556;;;2024-08-27;Field Sales;Organico;;;Plano Empresarial;Fechado;Apresentamos o plano para o RH, ficou muito interessado no plano, estamos aguardando para apresentar para os proprietários Diretores. | Apresentado o Plano na empresa para Francielly responsável pelo RH. Ficou marcado para apresentar para Direção | FECHADO
ARTE PÃO;6436232170;;;2024-08-08;CDL;Organico;;;Plano Empresarial;Não responde;Apresentar no dia 12.08/ Tentamos retorno nos dias 20/08 e 05/09, ela não atende e não responde as mensagens. | Apresentamos o Plano para Laura, ela ficou de falar com a equipe dela para verificar quem tem interesse no plano, estamos aguardando o contato dela.
Motel Alvorada;64993072679;;;2024-08-02;Field Sales;Organico;;;Plano Empresarial;Não tem interesse;Visita no cliente, apresentei o plano empresarial apesar dele já ser conveniado, a principio ficou interessado, porém deixou de atender as ligações e responder as mensagens. | Fizemos reunião com o Rodrigo, proprietário do Motel Alvorada, apresentamos o plano empresarial e enviamos proposta para ele incluir mais 15 contratos no plano dele, estamos esperando resposta. | NÃO TEM INTERESSE
KAMILA VANESSA;64999571378;;;2024-09-05;SUDOEXPO;Organico;;;Plano Empresarial;Não tem interesse;Segundo informações da Kamila RH, a Diretoria barrou a proposta de implantação do beneficios para os colaboradores, peguei o contato do Diretor para ver se conseguimos reverter a situação, empresa tem mais de 200 colaboradores. | Entrado em contato com a cliente, via mensagem de prospecção da lista da SUDOEXPO. Marcando com a cliente para apresentar o plano para ela.
New Leader;64999898056;;;2024-09-05;SUDOEXPO;Organico;;;Plano Empresarial;Não tem interesse;Não tem interesse neste momento. | Cliente solicitou apresentação do Plano Empresarial, foi enviado e solicitei que agenda deles para apresentar pessoalmente.
Comercial Campeão;6436110320;;;2024-09-16;Field Sales;Organico;;;Plano Empresarial;Não responde;Não demonstra interesse | Entramos em contato com o RH Maristela, porém estamos com dificuldade, porque ela não responde as mensagens, vamos continuar tentando.
Mastercraft;64996469696;;;2024-09-13;SUDOEXPO;Organico;;;Plano Empresarial;Não responde;Não respondeu mais as mensagens | Apresentado o Plano para o Ricardo na SUDOEXPO, ficou muito interessado e pediu para enviar a apresentação.
Hospital do Cancer;64999877108;;;2024-09-13;SUDOEXPO;Organico;;;Plano Empresarial;Apresentação/Negociação;Apresentou a proposta na reunião da Diretoria, porém eles disseram que vão priorizar outros assuntos neste momento. | Apresentado o Plano para Heloisa na SUDOEXPO, ficou muito interessado e pediu para enviar a apresentação.
Colégio Athos;64992025471;;;2024-08-20;Field Sales;Organico;;;Plano Empresarial;Apresentação/Negociação;Não demonstra interesse | Apresentamos o Plano para Rosana, lider do Financeiro do Colégio, ela apresentou para Diretoria que está analisando a proposta.
Disel - Distribuidora;64996038300;;;2024-09-14;SUDOEXPO;Organico;;;Plano Empresarial;Apresentação/Negociação;Não demonstra interesse | Apresentamos o Plano para senhor Divino, proprietário da empresa, ele demonstrou interesse ficamos de marcar para próxima semana, porém não está atendendo e nem respondendo as mensagens.
Segmenta Agro;64996430466;;;2024-09-11;SUDOEXPO;Organico;;;Plano Empresarial;Apresentação/Negociação;Não está mais respondendo as mensagens | Apresentamos o Plano para senhora Vera, proprietária da empresa, ele demonstrou interesse ficamos de marcar reunião, porém não está atendendo e nem respondendo as mensagens.
MAFER MÓVEIS PARA ESCRITÓRIO;64993303003;;;2024-09-14;SUDOEXPO;Organico;;;Plano Empresarial;Apresentação/Negociação;Aguardando retorno dele. | Apresentamos o Plano para o Fernando, proprietário da empresa, ele demonstrou interesse ficamos de marcar reunião para apresentar para os colaboradores.
CONQUISTA SUPERMERCADO;64992814097;;;2024-09-13;SUDOEXPO;Organico;;;Plano Empresarial;Apresentação/Negociação;Aguardando retorno dela. | Apresentamos o Plano para Janaine, Analista de RH, ela demonstrou interesse ficamos de marcar reunião para apresentar para os colaboradores.
Comstrumel;6436024301;;;2024-09-18;Field Sales;Organico;;;Plano Empresarial;Não tem interesse;Não tem interesse | Enviamos mensagem para tentar apresentar o plano e não teve interesse.
Village Calçados;64984422107;;;2024-09-10;Field Sales;Organico;;;Plano Empresarial;Não tem interesse;Não tem interesse | Enviamos mensagem para tentar apresentar o plano e não teve interesse.
Eletro Cabral;64999875491;;;2024-09-11;SUDOEXPO;Organico;;;Plano Empresarial;Não tem interesse;Não tem interesse | Apresentamos o Plano para o Srº Aildo, proprietário da empresa, ele demonstrou interesse ficamos de marcar reunião para apresentar para os colaboradores. Porém não atende e nem responde mensagem.
IPGSE;64999785809;;;2024-09-12;SUDOEXPO;Organico;;;Plano Empresarial;Não responde;Não demonstra interesse | Apresentamos o Plano para o Srº Romero, Diretor da empresa, ele demonstrou interesse ficamos de marcar reunião para apresentar para os colaboradores. Porém não atende e nem responde mensagem.
